symbol,unicode,0,1,2,3,4
4,0x34,1.6749999999999998,1.3934,2.3522,1.5204,1.8052000000000001
4,0x34,1.7012,1.4192,2.3628,1.554,1.8652
A,0x41,1.7462,3.9112,2.6528,4.145,0.8536
A,0x41,1.7146,4.1008000000000004,2.8207999999999998,4.2966,0.8502
A,0x41,1.7178,4.0358,2.6232,4.179,0.8341999999999999
A,0x41,1.6927999999999999,4.1516,2.656,4.2764,0.8413999999999999
A,0x41,1.7136,4.094799999999999,2.6734,4.3156,0.8522
A,0x41,1.6847999999999999,4.1074,2.6568,4.2794,0.84
A,0x41,1.7006,3.9452000000000003,2.5568,4.3076,0.8261999999999999
A,0x41,1.7538,4.0466,2.7894,4.3344,0.838
A,0x41,1.7466,4.0506,2.834,4.3218000000000005,0.8546
A,0x41,1.7189999999999999,4.0964,2.8352,4.2984,0.851
F,0x46,1.5676,1.1261999999999999,2.0858,2.03,0.831
F,0x46,1.6116000000000001,1.1392,2.1268,2.3449999999999998,1.0528
F,0x46,1.6054000000000002,1.1026,2.1664,2.4618,0.9496
F,0x46,1.6236,1.1343999999999999,2.17,2.441,0.9816
F,0x46,1.6139999999999999,1.1218000000000001,2.17,2.2696,1.0426
F,0x46,1.7246,1.1196000000000002,2.2154000000000003,1.9706,1.0332000000000001
F,0x46,1.7227999999999999,1.134,2.2324,2.0202,1.0706
F,0x46,1.708,1.1394,2.2202,2.0364,1.3076
F,0x46,1.6764,1.1718,2.254,2.1188,1.3923999999999999
F,0x46,1.7356,1.286,2.3572,2.1306,1.7502
I,0x49,1.9282,3.9396,2.8438,3.936,2.3542
I,0x49,1.7286,3.6426,2.6114,3.7184,2.1678
I,0x49,1.7792000000000001,3.7034000000000002,2.8052,3.715,2.2862
I,0x49,1.8552,3.7334,2.6316,4.0262,2.1568
I,0x49,1.9378,4.0422,2.8212,4.0832,2.0502
I,0x49,1.7896,3.9488,2.75,3.9138,2.3036
I,0x49,1.8446,3.7912,2.7158,3.8782,2.4228
I,0x49,1.8514000000000002,4.0402,2.7488,3.835,2.3466
I,0x49,1.8502,4.106,2.846,4.0245999999999995,2.2518
I,0x49,1.7930000000000001,4.3506,2.798,4.2058,2.0772
L,0x4c,1.7692,4.2278,2.7554,1.5892000000000002,0.82
L,0x4c,1.7654,4.2454,2.7084,1.5994000000000002,0.8408
L,0x4c,1.7429999999999999,4.2598,2.6842,1.5518,0.8336
L,0x4c,1.7810000000000001,3.9794,2.669,1.5158,0.8308
L,0x4c,1.9145999999999999,4.1562,2.5498,1.5096,0.797
L,0x4c,1.9123999999999999,4.0868,2.6072,1.5244,0.821
L,0x4c,1.8332000000000002,4.1204,2.5526,1.5534000000000001,0.8316
L,0x4c,1.8318,4.2905999999999995,2.601,1.5854000000000001,0.842
L,0x4c,1.8526,4.2358,2.6274,1.5674000000000001,0.8298
L,0x4c,1.885,4.0894,2.6002,1.5190000000000001,0.8191999999999999
S,0x53,2.1546,4.1844,2.8078,4.119,2.0585999999999998
S,0x53,2.0512,4.1942,2.8468,4.1754,2.221
S,0x53,1.9974,4.2498,2.7774,4.1564,2.0248
S,0x53,2.0186,4.1556,2.745,4.1334,1.8658000000000001
S,0x53,2.1418,4.2589999999999995,2.6858,4.183,1.7466
S,0x53,2.0632,4.2128,2.8422,4.1582,1.9891999999999999
S,0x53,2.1234,4.2661999999999995,2.7246,4.1594,1.8928
S,0x53,2.0145999999999997,4.2326,2.78,4.1194,1.9392
S,0x53,2.044,4.266,2.6698,4.1488000000000005,1.8238
S,0x53,2.0768,4.3544,2.8696,4.1894,1.5642
W,0x57,2.1264,1.1656,2.0816,1.4052,1.3302
W,0x57,2.2428,1.2107999999999999,2.161,1.454,1.2918
W,0x57,2.2224,1.2444,2.17,1.4656,1.194
W,0x57,2.222,1.2162,2.1704,1.4596,1.0728
W,0x57,2.2826,1.2546,2.1868,1.4862,1.233
W,0x57,2.3462,1.2424,2.1314,1.4822,1.1048
W,0x57,2.2758,1.2112,2.1542,1.4794,1.3362
W,0x57,2.2294,1.1858,2.1606,1.5052,1.4808
W,0x57,2.2066,1.1736,2.1884,1.4798,1.1949999999999998
W,0x57,2.3278,1.1874,2.1974,1.522,1.3132000000000001
Y,0x59,1.6998,3.4508,2.3472,3.8304,0.7492
Y,0x59,1.682,3.1492,2.3998,3.4514,0.7336
Y,0x59,1.705,3.7963999999999998,2.482,3.9624,0.8099999999999999
Y,0x59,1.7532,3.8538,2.519,3.9706,0.8281999999999999
Y,0x59,1.7892000000000001,3.908,2.5507999999999997,3.9604,0.8341999999999999
Y,0x59,1.7588,3.8744,2.594,3.8726,0.7604
Y,0x59,1.7618,3.9012000000000002,2.5114,3.893,0.7588
Y,0x59,1.7702,4.0232,2.4614000000000003,3.7484,0.7724
Y,0x59,1.7576,3.9214,2.617,3.8134,0.7692
Y,0x59,1.7766,3.5252,2.5862,3.8724,0.7726000000000001
ILY,xx,1.6678,3.2556,2.3968,1.4607999999999999,0.7073999999999999
