symbol,0,1,2,3,4
Dhaal,0.476,0.4672,0.123,0.482,0.0824
Dhaal,0.4404,0.3868,0.1026,0.4668,0.0
Dhaal,0.44680000000000003,0.3814,0.1086,0.6738000000000001,0.0378
Dhaal,0.331,0.3772,0.1054,1.018,0.079
Dhaal,0.2884,0.2668,0.1188,1.04,0.178
Daal,0.4062,0.4392,0.41759999999999997,0.1494,0.068
Daal,0.4088,0.376,0.3928,0.1292,0.0574
Daal,0.415,0.37,0.4182,0.12000000000000001,0.0926
Daal,0.383,0.3074,0.3912,0.1558,0.1444
Daal,0.416,0.3164,0.4134,0.1618,0.0784
Daal,0.4232,0.34040000000000004,0.415,0.16,0.154
Daal,0.4274,0.3384,0.3942,0.08320000000000001,0.1554
Daal,0.3798,0.277,0.3526,0.1452,0.17300000000000001
Daal,0.40599999999999997,0.2852,0.3396,0.1524,0.1776
Daal,0.4194,0.2696,0.3138,0.1504,0.1544
Qaaf,0.2152,0.1376,0.029599999999999998,0.1582,0.3668
Qaaf,0.2222,0.1834,0.023799999999999998,0.1558,0.3382
Qaaf,0.17,0.1258,0.0246,0.1186,0.427
Qaaf,0.2666,0.1984,0.0396,0.1454,0.5478000000000001
Qaaf,0.3114,0.1456,0.0178,0.147,0.5268
Qaaf,0.28700000000000003,0.1872,0.0242,0.1242,0.562
Qaaf,0.2626,0.188,0.0138,0.139,0.733
Qaaf,0.2422,0.24080000000000001,0.097,0.2138,0.5328
Qaaf,0.2158,0.2086,0.1208,0.375,0.4914
Qaaf,0.2834,0.2198,0.12140000000000001,0.3872,0.4602
Ghayn,0.1642,0.242,0.0,0.0534,0.0
Ghayn,0.1358,0.182,0.0,0.026600000000000002,0.0
Ghayn,0.1986,0.2252,0.0,0.0806,0.0
Ghayn,0.14780000000000001,0.346,0.0,0.0734,0.0
Ghayn,0.1252,0.41659999999999997,0.0,0.0,0.0
Ghayn,0.1704,0.5204,0.0012000000000000001,0.06620000000000001,0.0
Ghayn,0.1382,0.4278,0.0014,0.0134,0.0
Ghayn,0.1548,0.1388,0.0,0.0,0.0
Ghayn,0.1384,0.0922,0.0,0.0,0.0
Ghayn,0.161,0.2446,0.0008,0.0012000000000000001,0.0
Zaa,0.4332,0.13920000000000002,0.0,0.0,0.0
Zaa,0.4356,0.208,0.0,0.0,0.0
Zaa,0.3758,0.2446,0.0,0.0,0.0
Zaa,0.2828,0.146,0.0,0.0,0.0
Zaa,0.2646,0.0994,0.0,0.0,0.0
Zaa,0.2806,0.24680000000000002,0.0,0.0,0.0
Zaa,0.3268,0.2596,0.0,0.0,0.0
Zaa,0.3608,0.259,0.0,0.0,0.0
Zaa,0.197,0.1996,0.0,0.0,0.0
Zaa,0.3414,0.1992,0.0,0.0,0.0
Yaa,0.0,0.1374,0.30760000000000004,0.4292,0.0
Yaa,0.0,0.2196,0.4506,0.5854,0.0
Yaa,0.0,0.1186,0.3212,0.4998,0.0
Yaa,0.0,0.1252,0.2394,0.4008,0.0
Yaa,0.0,0.136,0.22920000000000001,0.47459999999999997,0.0
Yaa,0.0,0.1046,0.2374,0.473,0.0
Yaa,0.0,0.0818,0.2674,0.4424,0.0
Yaa,0.0,0.0948,0.24760000000000001,0.463,0.0
Yaa,0.0,0.0976,0.348,0.4598,0.0
Yaa,0.0,0.054200000000000005,0.2778,0.41559999999999997,0.0
Miim,0.0,0.0724,0.2278,0.5298,0.5726
Miim,0.0,0.2436,0.1728,0.512,0.5044
Miim,0.0,0.2298,0.1942,0.5398000000000001,0.4948
Miim,0.0,0.2284,0.253,0.629,0.3672
Miim,0.0,0.2348,0.2662,0.5196000000000001,0.4372
Miim,0.0,0.2316,0.3032,0.5676,0.3136
Miim,0.0,0.2444,0.202,0.4478,0.3786
Miim,0.0,0.2192,0.1768,0.4354,0.3328
Miim,0.0,0.224,0.2528,0.4192,0.3698
Miim,0.0,0.2566,0.2242,0.4836,0.3562
Laam,0.7898000000000001,0.34700000000000003,0.2518,0.0,0.0
Laam,0.3022,0.2934,0.1824,0.0,0.0
Laam,0.3688,0.2718,0.23600000000000002,0.0,0.0
Laam,0.3828,0.28500000000000003,0.2526,0.0,0.0
Laam,0.3402,0.2442,0.2364,0.0,0.0
Laam,0.2168,0.226,0.22920000000000001,0.0,0.0
Laam,0.3104,0.2336,0.2144,0.0002,0.0
Laam,0.2762,0.2144,0.219,0.0,0.0
Laam,0.3058,0.2196,0.208,0.0,0.0
Laam,0.2876,0.2108,0.1888,0.0002,0.0
Kaaf,0.0,0.0,0.0002,0.0,0.4254
Kaaf,0.0,0.0,0.0,0.0,0.5589999999999999
Kaaf,0.0,0.0,0.0,0.0,0.399
Kaaf,0.0,0.0,0.0,0.0,0.3976
Kaaf,0.0,0.0,0.0,0.0002,0.3504
Kaaf,0.0,0.0,0.0,0.0,0.3762
Kaaf,0.0,0.0,0.0,0.0002,0.3138
Kaaf,0.0,0.0,0.0,0.0,0.2896
Kaaf,0.0,0.0,0.0,0.0,0.26940000000000003
Kaaf,0.0,0.0,0.0,0.0,0.2414
